"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 11- 10","326.13","326.33","327.00","323.79","331.19M","0.09%"
"2020- 11- 09","325.83","325.25","328.02","324.51","276.82M","1.16%"
"2020- 11- 06","322.10","322.72","324.28","320.61","143.96M","0.18%"
"2020- 11- 05","321.51","315.74","321.51","315.27","186.09M","2.45%"
"2020- 11- 04","313.83","314.31","315.62","311.37","212.32M","0.56%"
"2020- 11- 03","312.07","308.14","312.35","308.01","129.00M","2.00%"
"2020- 11- 02","305.95","302.67","306.43","301.37","111.03M","1.44%"
"2020- 10- 30","301.60","308.91","309.08","301.58","178.91M","-2.69%"
"2020- 10- 29","309.94","308.99","310.56","306.63","139.04M","-1.03%"
"2020- 10- 28","313.17","310.66","313.30","309.44","120.21M","0.44%"
"2020- 10- 27","311.80","311.50","313.93","310.55","162.32M","-0.55%"
"2020- 10- 26","313.53","315.63","316.78","313.33","170.88M","-0.40%"
"2020- 10- 23","314.79","314.98","315.83","312.31","198.02M","0.33%"
"2020- 10- 22","313.77","313.62","314.29","311.55","140.73M","-0.63%"
"2020- 10- 21","315.76","315.34","316.61","314.16","136.81M","0.33%"
"2020- 10- 20","314.71","311.02","314.91","309.95","135.68M","0.68%"
"2020- 10- 19","312.59","313.43","314.94","312.19","138.22M","0.24%"
"2020- 10- 16","311.83","314.41","315.47","309.67","126.44M","-0.67%"
"2020- 10- 15","313.92","315.76","315.89","312.40","124.41M","-0.84%"
"2020- 10- 14","316.57","319.60","319.88","315.71","129.34M","-0.94%"
"2020- 10- 13","319.58","321.04","321.45","316.98","126.74M","0.13%"
"2020- 10- 12","319.15","318.99","320.01","317.67","140.94M","0.53%"
"2020- 10- 08","317.47","320.31","320.38","316.60","168.69M","0.04%"
"2020- 10- 07","317.35","312.34","317.44","311.82","124.43M","0.92%"
"2020- 10- 06","314.45","315.13","316.48","313.03","139.89M","0.30%"
"2020- 10- 05","313.51","309.65","314.66","309.09","157.99M","1.32%"
"2020- 09- 29","309.44","310.01","311.34","308.52","138.82M","0.78%"
"2020- 09- 28","307.03","306.49","308.34","304.64","173.18M","1.14%"
"2020- 09- 25","303.57","305.38","305.55","301.93","156.86M","0.36%"
"2020- 09- 24","302.48","304.85","306.98","301.95","181.25M","-2.31%"
"2020- 09- 23","309.64","311.50","311.76","303.29","208.05M","0.27%"
"2020- 09- 22","308.82","315.53","316.02","307.40","304.36M","-2.24%"
"2020- 09- 21","315.89","318.13","320.86","314.78","165.86M","-0.79%"
"2020- 09- 18","318.39","319.20","319.81","316.62","153.54M","0.12%"
"2020- 09- 17","318.00","321.30","322.23","316.92","178.30M","-1.34%"
"2020- 09- 16","322.31","323.14","324.19","321.52","146.88M","-0.32%"
"2020- 09- 15","323.36","321.82","323.57","320.54","152.45M","0.74%"
"2020- 09- 14","320.98","319.83","321.22","318.54","176.78M","1.43%"
"2020- 09- 11","316.45","315.64","316.77","313.20","165.16M","-0.03%"
"2020- 09- 10","316.53","317.92","318.38","315.46","234.27M","0.88%"
"2020- 09- 09","313.77","313.54","315.90","312.90","198.50M","-1.14%"
"2020- 09- 08","317.38","316.31","317.43","314.56","227.27M","1.18%"
"2020- 09- 07","313.67","312.08","314.44","310.93","264.67M","0.53%"
"2020- 09- 04","312.03","308.25","312.64","308.04","408.03M","-1.39%"
"2020- 09- 03","316.43","314.73","317.46","314.45","342.18M","1.58%"
"2020- 09- 02","311.50","311.69","312.92","308.52","337.04M","0.55%"
"2020- 09- 01","309.81","309.08","311.15","307.63","342.81M","0.87%"
"2020- 08- 31","307.14","315.46","316.11","307.12","312.18M","-1.63%"
"2020- 08- 28","312.24","313.86","315.95","311.06","256.41M","0.28%"
"2020- 08- 27","311.38","314.46","315.17","311.37","175.57M","-0.89%"
"2020- 08- 26","314.19","313.61","315.08","309.74","193.54M","0.19%"
"2020- 08- 25","313.59","312.45","314.14","310.57","197.82M","1.38%"
"2020- 08- 24","309.33","306.86","310.27","303.39","142.21M","1.04%"
"2020- 08- 21","306.16","306.17","309.88","303.15","166.30M","1.52%"
"2020- 08- 20","301.59","310.45","312.77","301.15","249.74M","-3.81%"
"2020- 08- 19","313.54","315.96","316.82","313.18","159.93M","0.22%"
"2020- 08- 18","312.84","319.57","321.69","311.20","247.52M","-2.00%"
"2020- 08- 14","319.24","321.59","322.66","316.28","260.40M","-1.26%"
"2020- 08- 13","323.33","325.84","326.22","319.66","285.74M","0.20%"
"2020- 08- 12","322.68","320.31","322.68","317.30","293.14M","0.52%"
"2020- 08- 11","321.02","317.63","322.64","317.56","297.60M","1.34%"
"2020- 08- 10","316.77","312.75","317.84","312.08","261.18M","1.34%"
"2020- 08- 07","312.57","311.99","314.11","310.00","299.12M","0.40%"
"2020- 08- 06","311.32","307.88","312.84","307.88","254.20M","1.53%"
"2020- 08- 05","306.64","303.94","306.67","302.91","210.81M","1.19%"
"2020- 08- 04","303.04","302.50","304.27","301.48","219.87M","1.20%"
"2020- 08- 03","299.46","299.57","300.33","297.57","179.73M","0.05%"
"2020- 07- 31","299.32","303.69","304.16","298.89","201.96M","-0.84%"
"2020- 07- 30","301.85","303.13","304.13","301.49","191.76M","0.20%"
"2020- 07- 29","301.25","300.57","303.51","299.61","264.44M","0.37%"
"2020- 07- 28","300.13","296.53","301.34","296.38","301.28M","2.26%"
"2020- 07- 27","293.51","291.03","295.26","290.82","193.24M","0.98%"
"2020- 07- 24","290.66","289.84","292.74","289.42","216.21M","-0.58%"
"2020- 07- 23","292.37","293.62","293.62","290.49","250.98M","-0.57%"
"2020- 07- 22","294.04","294.71","296.14","293.39","327.32M","-0.38%"
"2020- 07- 21","295.16","294.03","296.11","293.20","366.99M","1.50%"
"2020- 07- 20","290.81","292.76","292.76","289.01","161.82M","-0.26%"
"2020- 07- 17","291.57","289.90","292.10","289.90","118.64M","0.80%"
"2020- 07- 16","289.25","292.34","292.74","288.46","129.45M","-1.03%"
"2020- 07- 15","292.27","292.94","294.42","290.89","168.35M","0.91%"
"2020- 07- 14","289.63","288.42","289.63","286.89","126.30M","-0.07%"
"2020- 07- 13","289.84","287.92","290.49","286.86","127.05M","1.68%"
"2020- 07- 10","285.06","287.87","288.09","283.51","136.77M","-0.76%"
"2020- 07- 09","287.25","287.80","289.41","287.08","140.61M","0.45%"
"2020- 07- 08","285.97","287.20","288.41","285.18","119.45M","-0.28%"
"2020- 07- 07","286.77","292.74","292.98","286.76","156.13M","-1.32%"
"2020- 07- 06","290.62","286.84","291.14","286.31","128.12M","1.65%"
"2020- 07- 03","285.89","285.59","286.09","283.36","100.22M","0.72%"
"2020- 07- 02","283.86","281.30","283.89","280.71","111.37M","1.28%"
"2020- 07- 01","280.26","283.10","283.84","279.44","133.80M","0.06%"
"2020- 06- 30","280.09","282.55","283.98","280.09","179.50M","0.74%"
"2020- 06- 29","278.04","279.36","281.77","277.06","137.76M","-1.88%"
"2020- 06- 26","283.38","283.36","284.58","280.65","169.01M","1.30%"
"2020- 06- 25","279.73","282.38","284.36","279.73","152.98M","-2.43%"
"2020- 06- 24","286.70","283.71","288.30","283.30","200.57M","1.69%"
"2020- 06- 23","281.94","284.64","286.04","279.26","163.68M","0.18%"
"2020- 06- 22","281.42","281.01","283.71","280.34","139.84M","-0.69%"
"2020- 06- 19","283.37","284.56","284.70","278.53","189.13M","0.52%"
"2020- 06- 18","281.91","281.74","283.39","280.02","181.59M","-0.39%"
"2020- 06- 17","283.02","282.08","284.90","278.33","337.22M","0.15%"
"2020- 06- 16","282.59","275.89","282.59","274.00","247.89M","5.46%"
"2020- 06- 15","267.95","278.61","280.87","267.95","262.44M","-4.91%"
"2020- 06- 12","281.78","276.97","282.54","276.05","232.83M","-2.37%"
"2020- 06- 11","288.62","289.98","292.08","284.29","275.90M","-1.12%"
"2020- 06- 10","291.90","291.03","292.92","289.60","229.07M","0.20%"
"2020- 06- 09","291.32","293.96","294.87","287.83","268.57M","0.19%"
"2020- 06- 08","290.77","295.41","295.68","289.71","286.66M","0.05%"
"2020- 06- 05","290.62","286.30","291.50","284.50","282.06M","1.46%"
"2020- 06- 04","286.45","291.17","292.90","284.93","364.58M","0.19%"
"2020- 06- 03","285.91","279.14","287.49","278.98","476.50M","3.56%"
"2020- 06- 02","276.08","272.65","276.47","272.22","251.03M","1.06%"
"2020- 06- 01","273.19","269.29","273.39","268.93","171.51M","1.81%"
"2020- 05- 29","268.32","266.62","269.61","265.23","269.47M","0.01%"
"2020- 05- 28","268.29","270.17","271.44","264.85","248.93M","0.24%"
"2020- 05- 27","267.64","266.71","269.17","265.86","247.18M","0.12%"
"2020- 05- 26","267.31","263.48","267.31","262.95","175.42M","1.73%"
"2020- 05- 25","262.76","260.95","262.82","259.16","125.43M","1.21%"
"2020- 05- 22","259.62","263.82","264.07","258.34","166.03M","-1.56%"
"2020- 05- 21","263.74","264.52","264.85","263.07","159.48M","0.39%"
"2020- 05- 20","262.72","260.48","263.25","260.48","140.30M","0.36%"
"2020- 05- 19","261.79","261.12","262.34","259.96","253.33M","2.49%"
"2020- 05- 18","255.44","254.55","256.31","252.95","223.00M","0.65%"
"2020- 05- 15","253.79","255.34","255.49","252.02","228.90M","0.06%"
"2020- 05- 14","253.65","253.26","254.39","252.09","167.64M","-0.86%"
"2020- 05- 13","255.85","250.03","255.85","249.95","141.25M","0.98%"
"2020- 05- 12","253.37","255.33","255.56","250.98","166.80M","-0.62%"
"2020- 05- 11","254.95","257.67","258.87","254.59","144.30M","-0.65%"
"2020- 05- 08","256.62","256.66","258.29","256.23","125.22M","0.85%"
"2020- 05- 07","254.46","253.88","256.14","253.37","114.36M","-0.21%"
"2020- 05- 06","255.00","253.76","255.01","251.26","133.28M","1.76%"
"2020- 05- 04","250.60","252.44","253.70","250.34","174.04M","-2.92%"
"2020- 04- 29","258.15","256.58","259.67","256.04","184.48M","0.69%"
"2020- 04- 28","256.39","255.91","257.34","253.22","172.42M","0.61%"
"2020- 04- 27","254.84","251.18","255.79","250.61","151.36M","1.82%"
"2020- 04- 24","250.28","252.47","252.86","249.19","154.31M","-1.36%"
"2020- 04- 23","253.74","253.42","255.22","251.58","163.81M","0.74%"
"2020- 04- 22","251.88","246.16","252.18","244.56","184.50M","0.99%"
"2020- 04- 21","249.40","250.26","251.88","245.11","257.16M","-1.09%"
"2020- 04- 20","252.14","253.85","255.93","251.46","211.00M","-1.13%"
"2020- 04- 17","255.02","252.52","257.37","252.38","287.36M","3.21%"
"2020- 04- 16","247.10","244.99","247.87","243.61","197.54M","-0.14%"
"2020- 04- 14","247.45","246.20","248.55","244.58","193.12M","1.66%"
"2020- 04- 13","243.40","246.59","246.90","243.39","195.90M","-1.85%"
"2020- 04- 10","248.00","245.14","248.21","244.02","286.11M","0.97%"
"2020- 04- 09","245.61","246.13","246.46","243.11","175.94M","1.54%"
"2020- 04- 08","241.89","243.71","246.99","241.77","173.12M","-1.22%"
"2020- 04- 07","244.87","245.65","247.39","240.68","224.45M","1.69%"
"2020- 04- 06","240.81","234.40","241.19","233.75","190.74M","3.93%"
"2020- 04- 03","231.70","232.48","234.45","229.23","181.04M","-0.06%"
"2020- 04- 02","231.84","227.47","232.22","223.60","181.79M","2.43%"
"2020- 04- 01","226.35","234.23","237.52","226.34","228.58M","-4.42%"
"2020- 03- 31","236.82","235.20","237.47","232.50","240.44M","1.88%"
"2020- 03- 30","232.45","227.05","234.70","225.09","167.23M","-0.57%"
"2020- 03- 27","233.79","239.11","239.48","227.01","249.10M","1.94%"
"2020- 03- 26","229.34","231.91","236.61","229.22","290.84M","-1.52%"
"2020- 03- 25","232.89","228.37","233.42","224.74","306.11M","5.70%"
"2020- 03- 24","220.34","207.65","220.34","205.41","225.73M","9.15%"
